what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1382606787983
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1382606793873
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382606803264
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382606806186
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1382606806201
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1382606806201
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382606808592
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1382606820748
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382606826701
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1382606826733
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1382606826733
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildProject",1382606832608
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382606832858
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382606834873
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382606839154
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382606840561
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382606840701
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1382606840795
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1382606840826
